C_CODE,COUNTY,TOTAL_REG.,NUMBER_VOTING,PERCENT_TURNOUT,DEM_REG.,NUMBER_VOTING,PERCENT_TURNOUT,REP_REG.,NUMBER_VOTING,PERCENT_TURNOUT,OTHER_REG.,NUMBER_VOTING,PERCENT_TURNOUT,
53,HICKMAN,"3,621","2,327",64.2,"3,025","2,000",66.1,489,288,58.8, 107 ,39,36.4,
54,HOPKINS,"31,379","19,893",63.3,"22,738","14,784",65,"7,320","4,544",62," 1,321 ",565,42.7,
55,JACKSON,"9,692","5,320",54.8,"1,270",621,48.8,"8,150","4,600",56.4, 272 ,99,36.3,
56,JEFFERSON,"499,520","355,506",71.1,"296,290","215,120",72.6,"160,047","115,672",72.2," 43,183 ","24,714",57.2,
57,JESSAMINE,"31,655","20,594",65,"15,847","10,267",64.7,"13,541","9,239",68.2," 2,267 ","1,088",47.9,
58,JOHNSON,"16,791","8,734",52,"7,185","3,565",49.6,"9,134","5,022",54.9, 472 ,147,31.1,
59,KENTON,"108,068","69,964",64.7,"48,024","30,886",64.3,"46,500","31,658",68," 13,544 ","7,420",54.7,
60,KNOTT,"11,951","6,094",50.9,"11,259","5,736",50.9,516,303,58.7, 176 ,55,31.2,
61,KNOX,"22,353","11,718",52.4,"7,635","3,709",48.5,"14,175","7,837",55.2, 543 ,172,31.6,
62,LARUE,"9,959","6,316",63.4,"6,640","4,342",65.3,"2,837","1,787",62.9, 482 ,187,38.7,
63,LAUREL,"40,349","23,012",57,"9,916","5,127",51.7,"28,929","17,360",60," 1,504 ",525,34.9,
64,LAWRENCE,"11,394","5,853",51.3,"6,439","3,186",49.4,"4,459","2,494",55.9, 496 ,173,34.8,
65,LEE,"5,286","2,857",54,"2,148","1,121",52.1,"3,021","1,681",55.6, 117 ,55,47,
66,LESLIE,"9,147","4,537",49.6,"1,143",514,44.9,"7,835","3,954",50.4, 169 ,69,40.8,
67,LETCHER,"16,568","8,386",50.6,"12,711","5,996",47.1,"3,522","2,261",64.1, 335 ,129,38.5,
68,LEWIS,"9,775","4,948",50.6,"2,438","1,275",52.2,"7,012","3,555",50.6, 325 ,118,36.3,
69,LINCOLN,"16,869","9,335",55.3,"9,199","5,004",54.3,"6,981","4,056",58.1, 689 ,275,39.9,
70,LIVINGSTON,"7,187","4,719",65.6,"5,741","3,845",66.9,"1,199",774,64.5, 247 ,100,40.4,
71,LOGAN,"17,011","11,045",64.9,"12,203","8,075",66.1,"3,821","2,555",66.8, 987 ,415,42,
72,LYON,"5,863","4,005",68.3,"4,568","3,149",68.9,"1,093",749,68.5, 202 ,107,52.9,
73,MCCRACKEN,"47,501","31,663",66.6,"30,973","21,031",67.9,"13,278","9,054",68.1," 3,250 ","1,578",48.5,
74,MCCREARY,"11,280","5,613",49.7,"3,193","1,513",47.3,"7,596","3,946",51.9, 491 ,154,31.3,
75,MCLEAN,"6,635","4,469",67.3,"4,763","3,214",67.4,"1,584","1,133",71.5, 288 ,122,42.3,
76,MADISON,"52,371","33,445",63.8,"28,461","18,491",64.9,"19,518","12,741",65.2," 4,392 ","2,213",50.3,
77,MAGOFFIN,"9,858","4,755",48.2,"6,987","3,247",46.4,"2,757","1,475",53.5, 114 ,33,28.9,
78,MARION,"12,357","7,933",64.1,"10,299","6,800",66,"1,708",978,57.2, 350 ,155,44.2,
79,MARSHALL,"22,930","15,891",69.3,"16,852","11,841",70.2,"5,264","3,606",68.5, 814 ,444,54.5,
80,MARTIN,"8,927","3,760",42.1,"2,315",919,39.6,"6,458","2,806",43.4, 154 ,35,22.7,
